,0
SYNUSDT,2023-02-22 10:30:00
VIBUSDT,2023-02-24 08:00:00
SSVUSDT,2023-02-24 08:00:00
LQTYUSDT,2023-02-28 11:00:00
AMBUSDT,2023-03-03 08:00:00
BETHUSDT,2023-03-03 08:00:00
USTCUSDT,2023-03-10 08:00:00
GASUSDT,2023-03-17 08:00:00
GLMUSDT,2023-03-17 08:00:00
PROMUSDT,2023-03-17 08:00:00
QKCUSDT,2023-03-17 08:00:00
UFTUSDT,2023-03-17 08:00:00
IDUSDT,2023-03-22 12:00:00
ARBUSDT,2023-03-23 15:00:00
LOOMUSDT,2023-03-24 08:00:00
OAXUSDT,2023-03-24 08:00:00
RDNTUSDT,2023-03-30 07:30:00
WBTCUSDT,2023-04-28 08:00:00
EDUUSDT,2023-04-28 12:00:00
SUIUSDT,2023-05-03 12:00:00
AERGOUSDT,2023-05-05 08:00:00
PEPEUSDT,2023-05-05 18:00:00
FLOKIUSDT,2023-05-05 18:00:00
ASTUSDT,2023-05-19 08:00:00
SNTUSDT,2023-05-19 08:00:00
COMBOUSDT,2023-06-02 08:00:00
MAVUSDT,2023-06-28 08:00:00
PENDLEUSDT,2023-07-03 10:00:00
ARKMUSDT,2023-07-18 12:00:00
WBETHUSDT,2023-07-19 06:00:00
WLDUSDT,2023-07-24 09:00:00
FDUSDUSDT,2023-07-26 08:00:00
SEIUSDT,2023-08-15 12:00:00
CYBERUSDT,2023-08-15 12:00:00
ARKUSDT,2023-09-22 08:00:00
CREAMUSDT,2023-09-22 08:00:00
GFTUSDT,2023-09-22 08:00:00
IQUSDT,2023-09-22 08:00:00
NTRNUSDT,2023-10-10 12:00:00
TIAUSDT,2023-10-31 16:00:00.006000
MEMEUSDT,2023-11-03 08:00:00
ORDIUSDT,2023-11-07 12:00:00
BEAMXUSDT,2023-11-14 08:00:00
PIVXUSDT,2023-11-16 08:00:00
VICUSDT,2023-11-24 08:00:00
BLURUSDT,2023-11-24 09:00:00
VANRYUSDT,2023-12-01 08:00:00
