,Unnamed: 0,unix_s,low,high,open,close,volume,UTC_datetime,Beijing_datetime
47,47,1668384000,15817.02,17195.33,16322.79,16615.95,1778.62011427,2022-11-14,2022-11-14 08:00:00
46,46,1668470400,16527.21,17124.38,16597.79,16893.34,1750.38790315,2022-11-15,2022-11-15 08:00:00
45,45,1668556800,16374.19,17013.66,16895.43,16662.57,1628.7759027,2022-11-16,2022-11-16 08:00:00
44,44,1668643200,16410.66,16750.0,16665.49,16693.02,937.49311091,2022-11-17,2022-11-17 08:00:00
43,43,1668729600,16550.98,17000.0,16693.02,16699.81,908.79922437,2022-11-18,2022-11-18 08:00:00
42,42,1668816000,16554.79,16820.82,16696.71,16702.85,514.46206364,2022-11-19,2022-11-19 08:00:00
41,41,1668902400,16181.8,16751.08,16704.21,16277.43,768.70765319,2022-11-20,2022-11-20 08:00:00
40,40,1668988800,15477.17,16316.92,16274.31,15778.08,2697.20383873,2022-11-21,2022-11-21 08:00:00
39,39,1669075200,15616.67,16311.45,15790.32,16213.71,1422.31341975,2022-11-22,2022-11-22 08:00:00
38,38,1669161600,16164.99,16709.81,16222.62,16608.27,1663.20029953,2022-11-23,2022-11-23 08:00:00
37,37,1669248000,16463.67,16815.04,16606.24,16599.54,1647.28130366,2022-11-24,2022-11-24 08:00:00
36,36,1669334400,16347.86,16622.7,16601.34,16519.97,2266.93937916,2022-11-25,2022-11-25 08:00:00
35,35,1669420800,16385.41,16701.16,16523.39,16451.12,1047.15882054,2022-11-26,2022-11-26 08:00:00
34,34,1669507200,16402.24,16598.95,16454.5,16429.92,815.90439861,2022-11-27,2022-11-27 08:00:00
33,33,1669593600,15999.0,16483.95,16427.79,16214.08,3317.51639697,2022-11-28,2022-11-28 08:00:00
32,32,1669680000,16099.73,16543.88,16212.47,16440.57,2215.59249156,2022-11-29,2022-11-29 08:00:00
31,31,1669766400,16427.59,17247.92,16441.48,17165.67,3043.42643663,2022-11-30,2022-11-30 08:00:00
30,30,1669852800,16861.82,17330.36,17162.31,16979.99,1665.14186655,2022-12-01,2022-12-01 08:00:00
29,29,1669939200,16782.68,17102.81,16976.36,17093.82,1516.83837805,2022-12-02,2022-12-02 08:00:00
28,28,1670025600,16861.45,17158.34,17095.38,16886.69,970.93645051,2022-12-03,2022-12-03 08:00:00
27,27,1670112000,16881.32,17202.83,16882.94,17108.14,845.44836549,2022-12-04,2022-12-04 08:00:00
26,26,1670198400,16869.97,17420.27,17104.69,16966.96,1966.99930781,2022-12-05,2022-12-05 08:00:00
25,25,1670284800,16907.98,17106.02,16968.13,17090.0,1663.12100738,2022-12-06,2022-12-06 08:00:00
24,24,1670371200,16673.35,17138.75,17092.05,16836.65,1404.92290376,2022-12-07,2022-12-07 08:00:00
23,23,1670457600,16737.85,17298.06,16838.07,17223.44,1469.96865359,2022-12-08,2022-12-08 08:00:00
22,22,1670544000,17066.91,17361.27,17223.69,17129.93,974.47638528,2022-12-09,2022-12-09 08:00:00
21,21,1670630400,17094.17,17226.81,17127.51,17125.72,481.24872049,2022-12-10,2022-12-10 08:00:00
20,20,1670716800,17073.42,17266.56,17125.1,17087.24,611.9617014,2022-12-11,2022-12-11 08:00:00
19,19,1670803200,16875.13,17240.78,17085.12,17211.56,1188.44103745,2022-12-12,2022-12-12 08:00:00
18,18,1670889600,17082.68,18012.0,17212.25,17777.37,2656.65648078,2022-12-13,2022-12-13 08:00:00
17,17,1670976000,17662.2,18383.73,17775.38,17803.45,3357.47841234,2022-12-14,2022-12-14 08:00:00
16,16,1671062400,17272.93,17852.81,17805.52,17359.3,2211.30597154,2022-12-15,2022-12-15 08:00:00
15,15,1671148800,16531.31,17524.22,17357.48,16628.87,2672.34554102,2022-12-16,2022-12-16 08:00:00
14,14,1671235200,16581.44,16791.44,16630.68,16779.42,1286.28860386,2022-12-17,2022-12-17 08:00:00
13,13,1671321600,16667.86,16845.0,16782.51,16745.77,378.96293083,2022-12-18,2022-12-18 08:00:00
12,12,1671408000,16265.0,16815.83,16743.63,16442.04,1267.69897891,2022-12-19,2022-12-19 08:00:00
11,11,1671494400,16398.9,17053.21,16437.56,16898.57,1874.89755783,2022-12-20,2022-12-20 08:00:00
10,10,1671580800,16732.81,16919.51,16897.94,16828.55,967.84564098,2022-12-21,2022-12-21 08:00:00
9,9,1671667200,16563.48,16868.03,16822.45,16819.63,796.87086674,2022-12-22,2022-12-22 08:00:00
8,8,1671753600,16741.52,16950.0,16822.17,16777.69,869.72481028,2022-12-23,2022-12-23 08:00:00
7,7,1671840000,16779.28,16863.28,16779.28,16834.97,516.74742569,2022-12-24,2022-12-24 08:00:00
6,6,1671926400,16722.6,16853.0,16834.24,16832.56,258.98294636,2022-12-25,2022-12-25 08:00:00
5,5,1672012800,16793.32,16942.79,16832.07,16920.09,314.19121089,2022-12-26,2022-12-26 08:00:00
4,4,1672099200,16593.87,16969.61,16920.43,16707.73,804.16645558,2022-12-27,2022-12-27 08:00:00
3,3,1672185600,16468.69,16785.29,16702.27,16549.15,1107.37550914,2022-12-28,2022-12-28 08:00:00
2,2,1672272000,16491.14,16662.11,16547.89,16634.11,776.5182216,2022-12-29,2022-12-29 08:00:00
1,1,1672358400,16340.0,16669.97,16636.01,16608.96,1202.55760891,2022-12-30,2022-12-30 08:00:00
0,0,1672444800,16472.82,16643.31,16608.96,16542.49,264.40054694,2022-12-31,2022-12-31 08:00:00
150,150,1672531200,16499.03,16624.03,16541.16,16618.25,186.05487191,2023-01-01,2023-01-01 08:00:00
149,149,1672617600,16550.47,16793.73,16621.31,16674.64,560.13654547,2023-01-02,2023-01-02 08:00:00
148,148,1672704000,16607.28,16776.17,16669.91,16675.13,877.29221624,2023-01-03,2023-01-03 08:00:00
147,147,1672790400,16653.48,16989.0,16676.28,16851.55,1537.12577401,2023-01-04,2023-01-04 08:00:00
146,146,1672876800,16755.98,16878.57,16854.64,16832.64,677.57494191,2023-01-05,2023-01-05 08:00:00
145,145,1672963200,16683.57,17034.18,16830.47,16954.37,734.48083476,2023-01-06,2023-01-06 08:00:00
144,144,1673049600,16908.82,16980.23,16954.37,16947.07,156.98031905,2023-01-07,2023-01-07 08:00:00
143,143,1673136000,16912.14,17173.99,16949.22,17129.39,373.84356264,2023-01-08,2023-01-08 08:00:00
142,142,1673222400,17106.66,17396.0,17130.95,17179.43,1148.27877989,2023-01-09,2023-01-09 08:00:00
141,141,1673308800,17146.91,17492.64,17180.2,17442.12,940.41886231,2023-01-10,2023-01-10 08:00:00
140,140,1673395200,17318.85,18003.7,17440.61,17942.37,994.7368185,2023-01-11,2023-01-11 08:00:00
139,139,1673481600,17706.96,19113.92,17951.36,18844.07,2819.81215398,2023-01-12,2023-01-12 08:00:00
138,138,1673568000,18717.17,20003.05,18844.05,19928.51,2263.4428122,2023-01-13,2023-01-13 08:00:00
137,137,1673654400,19894.21,21338.13,19930.3,20952.09,2430.54466226,2023-01-14,2023-01-14 08:00:00
136,136,1673740800,20557.56,21048.5,20959.3,20872.91,1148.61131826,2023-01-15,2023-01-15 08:00:00
135,135,1673827200,20628.37,21455.0,20868.1,21180.2,2950.42483304,2023-01-16,2023-01-16 08:00:00
134,134,1673913600,20851.35,21600.64,21184.1,21131.34,1775.13409341,2023-01-17,2023-01-17 08:00:00
133,133,1674000000,20393.2,21662.2,21129.51,20676.35,2197.21183396,2023-01-18,2023-01-18 08:00:00
