,归集成交id,成交价,成交量,归集首个id,归集末个id,成交时间,是否主卖,最优戳和,UTC时间,北京时间
,a,p,q,f,l,T,m,M,datetime_utc,datetime_bj
68,2783515882,43903.74,0.0021,3314658030,3314658030,1.70222E+12,FALSE,TRUE,00:03.8,2023-12-11 00:00:03.847000+08:00
69,2783515883,43903.74,0.02271,3314658031,3314658031,1.70222E+12,FALSE,TRUE,00:03.9,2023-12-11 00:00:03.880000+08:00
70,2783515884,43903.74,0.45043,3314658032,3314658042,1.70222E+12,FALSE,TRUE,00:03.9,2023-12-11 00:00:03.919000+08:00
71,2783515885,43903.74,0.01126,3314658043,3314658043,1.70222E+12,FALSE,TRUE,00:04.0,2023-12-11 00:00:04.020000+08:00
72,2783515886,43903.73,0.00695,3314658044,3314658044,1.70222E+12,TRUE,TRUE,00:04.1,2023-12-11 00:00:04.071000+08:00
73,2783515887,43903.73,0.01161,3314658045,3314658045,1.70222E+12,TRUE,TRUE,00:04.3,2023-12-11 00:00:04.254000+08:00
74,2783515888,43903.74,0.02847,3314658046,3314658046,1.70222E+12,FALSE,TRUE,00:04.3,2023-12-11 00:00:04.334000+08:00
75,2783515889,43903.74,0.00181,3314658047,3314658047,1.70222E+12,FALSE,TRUE,00:04.5,2023-12-11 00:00:04.467000+08:00
76,2783515890,43903.74,0.00273,3314658048,3314658048,1.70222E+12,FALSE,TRUE,00:04.5,2023-12-11 00:00:04.526000+08:00
77,2783515891,43903.74,0.00342,3314658049,3314658049,1.70222E+12,FALSE,TRUE,00:04.5,2023-12-11 00:00:04.529000+08:00
78,2783515892,43903.74,0.00086,3314658050,3314658050,1.70222E+12,FALSE,TRUE,00:04.6,2023-12-11 00:00:04.570000+08:00
79,2783515893,43903.73,0.00373,3314658051,3314658051,1.70222E+12,TRUE,TRUE,00:04.8,2023-12-11 00:00:04.849000+08:00
80,2783515894,43903.73,0.00209,3314658052,3314658052,1.70222E+12,TRUE,TRUE,00:05.0,2023-12-11 00:00:05+08:00
81,2783515895,43903.74,0.00257,3314658053,3314658053,1.70222E+12,FALSE,TRUE,00:05.1,2023-12-11 00:00:05.137000+08:00
82,2783515896,43903.74,0.00358,3314658054,3314658054,1.70222E+12,FALSE,TRUE,00:05.2,2023-12-11 00:00:05.216000+08:00
83,2783515897,43903.74,0.00068,3314658055,3314658055,1.70222E+12,FALSE,TRUE,00:05.2,2023-12-11 00:00:05.241000+08:00
84,2783515898,43903.74,0.00084,3314658056,3314658056,1.70222E+12,FALSE,TRUE,00:05.2,2023-12-11 00:00:05.248000+08:00
85,2783515899,43903.74,0.01141,3314658057,3314658057,1.70222E+12,FALSE,TRUE,00:05.3,2023-12-11 00:00:05.321000+08:00
86,2783515900,43903.74,0.47501,3314658058,3314658063,1.70222E+12,FALSE,TRUE,00:05.4,2023-12-11 00:00:05.369000+08:00
87,2783515901,43903.74,0.04556,3314658064,3314658064,1.70222E+12,FALSE,TRUE,00:05.6,2023-12-11 00:00:05.607000+08:00
88,2783515902,43903.74,0.00112,3314658065,3314658065,1.70222E+12,FALSE,TRUE,00:05.7,2023-12-11 00:00:05.707000+08:00
89,2783515903,43903.74,0.00023,3314658066,3314658066,1.70222E+12,FALSE,TRUE,00:06.1,2023-12-11 00:00:06.091000+08:00
90,2783515904,43903.73,0.0023,3314658067,3314658067,1.70222E+12,TRUE,TRUE,00:06.3,2023-12-11 00:00:06.310000+08:00
91,2783515905,43903.74,0.00277,3314658068,3314658068,1.70222E+12,FALSE,TRUE,00:06.4,2023-12-11 00:00:06.382000+08:00
92,2783515906,43903.74,0.001,3314658069,3314658069,1.70222E+12,FALSE,TRUE,00:06.6,2023-12-11 00:00:06.587000+08:00
93,2783515907,43903.73,0.00425,3314658070,3314658070,1.70222E+12,TRUE,TRUE,00:06.7,2023-12-11 00:00:06.713000+08:00
94,2783515908,43903.74,0.00542,3314658071,3314658071,1.70222E+12,FALSE,TRUE,00:07.1,2023-12-11 00:00:07.123000+08:00
95,2783515909,43903.73,0.00015,3314658072,3314658072,1.70222E+12,TRUE,TRUE,00:07.2,2023-12-11 00:00:07.160000+08:00
96,2783515910,43903.73,0.00455,3314658073,3314658073,1.70222E+12,TRUE,TRUE,00:07.2,2023-12-11 00:00:07.186000+08:00
97,2783515911,43903.74,0.01142,3314658074,3314658074,1.70222E+12,FALSE,TRUE,00:07.2,2023-12-11 00:00:07.188000+08:00
98,2783515912,43903.74,0.00328,3314658075,3314658075,1.70222E+12,FALSE,TRUE,00:07.3,2023-12-11 00:00:07.325000+08:00
99,2783515913,43903.74,0.02549,3314658076,3314658076,1.70222E+12,FALSE,TRUE,00:07.3,2023-12-11 00:00:07.349000+08:00
100,2783515914,43903.74,0.00382,3314658077,3314658077,1.70222E+12,FALSE,TRUE,00:07.4,2023-12-11 00:00:07.372000+08:00
101,2783515915,43903.74,0.0043,3314658078,3314658078,1.70222E+12,FALSE,TRUE,00:07.4,2023-12-11 00:00:07.396000+08:00
102,2783515916,43903.74,0.00062,3314658079,3314658079,1.70222E+12,FALSE,TRUE,00:07.4,2023-12-11 00:00:07.411000+08:00
103,2783515917,43903.74,0.00384,3314658080,3314658080,1.70222E+12,FALSE,TRUE,00:07.4,2023-12-11 00:00:07.419000+08:00
104,2783515918,43903.74,0.01379,3314658081,3314658081,1.70222E+12,FALSE,TRUE,00:07.5,2023-12-11 00:00:07.518000+08:00
105,2783515919,43903.74,0.01316,3314658082,3314658082,1.70222E+12,FALSE,TRUE,00:08.0,2023-12-11 00:00:08.031000+08:00
106,2783515920,43903.74,0.00014,3314658083,3314658083,1.70222E+12,FALSE,TRUE,00:08.8,2023-12-11 00:00:08.835000+08:00
107,2783515921,43903.73,0.00078,3314658084,3314658084,1.70222E+12,TRUE,TRUE,00:09.1,2023-12-11 00:00:09.082000+08:00
108,2783515922,43903.74,0.02278,3314658085,3314658085,1.70222E+12,FALSE,TRUE,00:09.1,2023-12-11 00:00:09.110000+08:00
109,2783515923,43903.74,0.01225,3314658086,3314658086,1.70222E+12,FALSE,TRUE,00:09.2,2023-12-11 00:00:09.188000+08:00
110,2783515924,43903.73,0.00309,3314658087,3314658087,1.70222E+12,TRUE,TRUE,00:09.2,2023-12-11 00:00:09.192000+08:00
111,2783515925,43903.74,0.01212,3314658088,3314658088,1.70222E+12,FALSE,TRUE,00:09.3,2023-12-11 00:00:09.258000+08:00
112,2783515926,43903.74,0.00487,3314658089,3314658089,1.70222E+12,FALSE,TRUE,00:09.5,2023-12-11 00:00:09.549000+08:00
113,2783515927,43903.74,0.05242,3314658090,3314658090,1.70222E+12,FALSE,TRUE,00:09.6,2023-12-11 00:00:09.572000+08:00
114,2783515928,43903.74,0.00109,3314658091,3314658091,1.70222E+12,FALSE,TRUE,00:09.6,2023-12-11 00:00:09.586000+08:00
115,2783515929,43903.74,0.00103,3314658092,3314658092,1.70222E+12,FALSE,TRUE,00:09.6,2023-12-11 00:00:09.588000+08:00
116,2783515930,43903.74,0.05815,3314658093,3314658093,1.70222E+12,FALSE,TRUE,00:09.6,2023-12-11 00:00:09.595000+08:00
117,2783515931,43903.74,0.06249,3314658094,3314658094,1.70222E+12,FALSE,TRUE,00:09.6,2023-12-11 00:00:09.619000+08:00
118,2783515932,43903.74,0.05761,3314658095,3314658095,1.70222E+12,FALSE,TRUE,00:09.6,2023-12-11 00:00:09.643000+08:00
119,2783515933,43903.74,0.06237,3314658096,3314658097,1.70222E+12,FALSE,TRUE,00:09.7,2023-12-11 00:00:09.667000+08:00
120,2783515934,43903.74,0.05291,3314658098,3314658098,1.70222E+12,FALSE,TRUE,00:09.7,2023-12-11 00:00:09.690000+08:00
121,2783515935,43903.74,0.02033,3314658099,3314658099,1.70222E+12,FALSE,TRUE,00:09.7,2023-12-11 00:00:09.714000+08:00
122,2783515936,43903.73,0.0003,3314658100,3314658100,1.70222E+12,TRUE,TRUE,00:10.7,2023-12-11 00:00:10.694000+08:00
123,2783515937,43903.73,0.00143,3314658101,3314658101,1.70222E+12,TRUE,TRUE,00:10.9,2023-12-11 00:00:10.896000+08:00
124,2783515938,43903.73,0.00148,3314658102,3314658102,1.70222E+12,TRUE,TRUE,00:11.1,2023-12-11 00:00:11.077000+08:00
125,2783515939,43903.74,0.00034,3314658103,3314658103,1.70222E+12,FALSE,TRUE,00:11.3,2023-12-11 00:00:11.333000+08:00
126,2783515940,43903.74,0.0014,3314658104,3314658104,1.70222E+12,FALSE,TRUE,00:11.4,2023-12-11 00:00:11.383000+08:00
127,2783515941,43903.74,0.0002,3314658105,3314658105,1.70222E+12,FALSE,TRUE,00:11.4,2023-12-11 00:00:11.435000+08:00
128,2783515942,43903.74,0.00052,3314658106,3314658106,1.70222E+12,FALSE,TRUE,00:11.8,2023-12-11 00:00:11.782000+08:00
129,2783515943,43903.73,0.00072,3314658107,3314658107,1.70222E+12,TRUE,TRUE,00:12.4,2023-12-11 00:00:12.428000+08:00
130,2783515944,43903.73,0.00045,3314658108,3314658108,1.70222E+12,TRUE,TRUE,00:12.5,2023-12-11 00:00:12.454000+08:00
131,2783515945,43903.74,0.05386,3314658109,3314658114,1.70222E+12,FALSE,TRUE,00:12.6,2023-12-11 00:00:12.599000+08:00
132,2783515946,43903.74,0.06111,3314658115,3314658115,1.70222E+12,FALSE,TRUE,00:12.6,2023-12-11 00:00:12.622000+08:00
133,2783515947,43903.74,0.0517,3314658116,3314658117,1.70222E+12,FALSE,TRUE,00:12.6,2023-12-11 00:00:12.646000+08:00
134,2783515948,43903.74,0.0167,3314658118,3314658118,1.70222E+12,FALSE,TRUE,00:12.7,2023-12-11 00:00:12.675000+08:00
135,2783515949,43903.73,0.00017,3314658119,3314658119,1.70222E+12,TRUE,TRUE,00:12.9,2023-12-11 00:00:12.939000+08:00
